"par_1","par_2","par_3","par_4","par_5","par_6","par_7","par_8","par_9","par_10","par_11","par_12","par_13","par_14","par_15","par_16","par_17","par_18","par_19","par_20","par_21","par_22","par_23","par_24","par_25","par_26","par_27","par_28","par_mean","para_cont","para_exp","para_nl","con_1","con_2","con_3","con_4","con_5","con_mean","cred_1","cred_2","cred_3","cred_4","cred_5","cred_6","cred_mean","creds_cont","rel_spi","rel_cont","rel_group","rel_group_text","age","gender","education","urban","ses","mis","weight"
2,3,1,2,2,3,1,2,2,2,2,3,2,3,3,3,3,4,2,2,2,2,3,2,2,3,1,3,2.32142857142857,61,3,87,3,3,4,3,2,3,2,3,3,2,3,2,2.5,62,"not-religious-not-spiritual",0,NA,"",36,"Man",7,"other",7,TRUE,0.618710732374539
3,2,1,2,1,3,2,1,1,3,3,1,2,1,1,1,3,1,1,1,1,1,1,1,3,2,1,1,1.60714285714286,41,3,41,5,5,5,4,4,4.6,1,1,1,1,1,1,1,1,"not-religious-not-spiritual",1,8,"Geen",53,"Vrouw",5,"other",8,FALSE,0.414322988130321
1,1,1,1,1,1,1,1,1,1,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.10714285714286,0,1,17,1,2,1,1,1,1.2,1,1,1,1,1,1,1,0,"not-religious-not-spiritual",0,NA,"",75,"Man",7,"other",8,FALSE,0.236129404974264
3,1,1,1,3,1,1,2,1,2,2,2,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1.35714285714286,0,1,15,4,3,1,2,3,2.6,1,1,1,1,2,1,1.16666666666667,0,"not-religious-not-spiritual",10,2,"",20,"Vrouw",6,"other",7,FALSE,1.86880323688189
3,4,3,4,4,3,4,3,3,4,3,4,4,3,5,2,4,3,3,2,1,1,4,2,3,4,2,3,3.14285714285714,10,1,39,4,3,2,3,4,3.2,2,1,1,1,3,1,1.5,21,"not-religious-spiritual",0,NA,"",46,"Man",4,"big cities",8,FALSE,0.505170355131431
3,2,1,2,1,1,2,3,2,2,3,1,3,1,3,1,1,4,2,1,1,1,1,2,1,1,1,1,1.71428571428571,30,1,30,5,4,5,1,2,3.4,1,1,1,1,1,1,1,10,"not-religious-not-spiritual",0,NA,"",64,"Man",6,"other",8,FALSE,0.205831723605759
1,1,1,1,1,1,1,1,1,1,1,2,3,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1.14285714285714,0,1,15,1,2,1,2,1,1.4,1,1,1,1,1,2,1.16666666666667,1,"not-religious-not-spiritual",0,NA,"",42,"Man",6,"other",8,FALSE,0.664136108190119
2,2,2,2,2,2,2,2,3,2,2,1,2,1,2,1,2,2,2,2,1,2,2,1,2,2,3,2,1.89285714285714,52,1,3,4,4,3,4,4,3.8,1,1,1,1,1,1,1,0,"not-religious-not-spiritual",1,1,"",66,"Vrouw",NA,"other",7,TRUE,NA
1,1,1,1,1,2,2,2,2,2,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.25,0,1,11,2,3,2,1,1,1.8,1,1,1,1,1,1,1,0,"not-religious-not-spiritual",0,NA,"",60,"Vrouw",7,"other",8,FALSE,1.11944742207855
3,1,1,1,1,1,3,3,3,3,2,2,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.5,52,3,30,5,5,5,4,5,4.8,1,1,1,1,1,1,1,0,"not-religious-not-spiritual",0,NA,"",65,"Man",4,"other",7,FALSE,0.681010935974389
